Sno,Merger 1,Merger 2,Merger 3,Merger 4,Merger 5,Final Merged,Sector,Action,Swap Ratio,Trading,Final Approval Date,Joint Transaction Date
15,National Microfinance Laghubitta Bittiya Sanstha Limited,Summit Laghubitta Bittiya Sanstha Limited,,,,National Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,100: 73,Yes,7/7/2023,7/15/2023
16,Deprosc Laghubitta Bittiya Sanstha Limited,Adarsha Laghubitta Bittiya Sanstha Limited,,,,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,Acquisition,1:01,Yes,9/29/2022,6/16/2023
17,Nepal Credit & Commercial Bank Ltd. Promoter Share,Kumari Bank Limited Promotor Share,,,,Kumari Bank Limited Promotor Share,Promoter Share,Merger,1:01,Yes,12/26/2022,1/1/2023
18,Nepal Credit And Commercial Bank Limited,Kumari Bank Limited,,,,Kumari Bank Limited,Commercial Bank,Merger,1:01,Yes,12/26/2022,1/1/2023
19,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,RMDC Laghubitta Bittiya Sanstha Ltd.,,,,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,100: 87,Yes,6/22/2023,7/9/2023
20,Prabhu Bank Limited,Century Commercial Bank Ltd.,,,,Prabhu  Bank Limited,Commercial Bank,Acquisition,1:01,Yes,1/3/2023,1/10/2023
21,Prabhu Life Insurance Limited,Maha Laxmi Finance Ltd.,,,,Prabhu Mahalaxmi Life Insurance Limited,Life Insurance,Merger,1:01,Yes,7/11/2023,7/14/2023
22,Sagarmatha Insurance Co. Ltd.,Lumbini General Insurance Co. Ltd.,,,,Sagarmatha Lumbini Insurance Co. Limited,Non-Life Insurance,Merger,100: 80,Yes,3/7/2023,3/13/2023
23,Sanima General Insurance Limited,General Insurance Company Nepal Ltd,,,,Sanima GIC Insurance Limited,Non-Life Insurance,Merger,1:01,Yes,9/30/2022,10/24/2022
24,Himalayan Bank Limited,Civil Bank Ltd,,,,Himalayan Bank Limited,Commercial Bank,Acquisition,100: 80.28,Yes,2/24/2023,2/24/2023
25,Sanima Life Insurance Limited,Reliance Life Insurance Limited,,,,Sanima Reliance Life Insurance Limited,Life Insurance,Merger,1:01,Yes,3/2/2023,3/23/2023
26,Siddhartha Insurance Ltd.,Premier Insurance Company (Nepal) Limited,,,,Siddhartha Premier Insurance Limited,Non-Life Insurance,Merger,1:01,Yes,2/7/2023,3/1/2023
27,CYC Nepal Laghubitta Bittiya Sanstha Limited,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,,,,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,100 : 70,Yes,2/27/2023,3/14/2023
28,Surya Life Insurance Co. Ltd. Promoter Share,Jyoti Life Insurance Company Limited�Promoter Share,,,,SuryaJyoti Life Insurance Company Limited Promoter,Promoter Share,Merger,100: 82.45,Yes,12/15/2022,12/22/2022
29,Surya Life Insurance Company Limited,Jyoti Life Insurance Company Limited,,,,SuryaJyoti Life Insurance Company Limited,Life Insurance,Merger,100: 82.45,Yes,12/15/2022,12/22/2022
30,Global IME Bank Limited,Bank of Kathmandu Ltd.,,,,Global IME Bank Limited,Commercial Bank,Merger,1:01,Yes,1/3/2023,1/9/2023
31,Nepal Investment Bank Limited,Mega Bank Nepal Ltd.,,,,Nepal Investment Mega Bank Limited,Commercial Bank,Merger,100: 90,Yes,11/29/2022,1/11/2023
32,Nepal Investment Bank Ltd. Promoter Share,Mega Bank Nepal Ltd. Promoter Share,,,,Nepal Investment Mega Bank Ltd. Promoter Share,Promoter Share,Merger,100:90,Yes,11/29/2022,1/11/2023
33,Gurans Life Insurance Company Ltd.,Union Life Insurance Company Limited,Prime Life Insurance Company Limited,,,Himalayan Life Insurance Limited,Life Insurance,Merger,1:01:01,Yes,5/2/2023,5/9/2023
34,Everest Insurance Co. Ltd.,Himalayan General Insurance Co. Ltd,,,,Himalayan Everest Insurance Limited,Non-Life Insurance,Merger,85: 100,Yes,7/8/2022,7/17/2022
35,Everest Insurance Co. Ltd. Promoter Share,Himalayan General Insurance Co. Ltd Promoter Share,,,,Himalayan Everest Insurance Limited Promoter,Promoter Share,Merger,85: 100,Yes,7/8/2022,7/17/2022
36,Nabil Bank Limited,Nepal Bangladesh Bank Limited,,,,Nabil Bank Limited,Commercial Bank,Acquisition,100:43:00,Yes,6/29/2022,7/11/2022
