sn,Name,Symbol,Category,First Traded Price,First Traded Date,Last Traded Price,Last Traded Date,Note
701,RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,Hydropower,263.0,2019-08-06,369.41,2025-07-07,
702,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Hydropower,261.0,2019-08-06,317.39,2025-07-07,
705,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,GGBSL,Microfinance,231.0,2019-09-05,830.0,2020-11-05,
706,Tinau Mission Development Bank Limited,TMDBL,Development Banks,158.0,2019-09-24,197.0,2020-10-15,
707,Saptakoshi Development Bank Ltd,SAPDBL,Development Banks,130.0,2019-10-01,1098.59,2025-07-07,
708,NIC Asia Balanced Fund,NICBF,Mutual Fund,10.3,2019-11-11,9.52,2025-07-07,
709,11% NIC Asia Debenture 082/83,NICAD8283,Corporate Debenture,1020.0,2019-12-26,1154.4,2025-07-07,
710,10.50% SBL Debenture 2082,SBLD2082,Corporate Debenture,975.0,2019-12-30,1099.9,2025-07-02,
711,NABIL BALANCED FUND-2,NBF2,Mutual Fund,10.0,2020-02-09,10.1,2025-07-07,
712,Himal Dolakha Hydropower Company Limited,HDHPC,Hydropower,128.0,2020-02-25,197.19,2025-07-07,
713,Nepal Reinsurance Company Limited,NRIC,Others,382.0,2020-06-29,1322.27,2025-07-07,
714,10.25% Sunrise Bank Debenture 2083,SRBLD83,Corporate Debenture,1000.0,2020-06-30,1113.2,2025-06-30,
715,NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,Microfinance,364.0,2020-07-09,618.58,2025-07-07,
716,NMB 50,NMB50,Mutual Fund,10.0,2020-07-15,10.55,2025-07-07,
717,Sunrise First Mutual Fund,SFMF,Mutual Fund,10.0,2020-07-15,10.7,2025-07-07,
718,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,Corporate Debenture,1011.0,2020-08-02,1086.0,2025-07-07,
719,Ajod Insurance Limited,AIL,Non Life Insurance,320.0,2020-08-02,451.0,2023-05-24,
720,Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL,Microfinance,397.0,2020-08-06,1067.0,2024-07-11,
721,NRN Infrastructure and Development Limited,NRN,Investment,336.0,2020-08-26,2216.04,2025-07-07,
722,Reliance Life Insurance Limited,RLI,Life Insurance,340.0,2020-09-08,387.0,2023-03-22,
723,10.25% KBL Debenture 2086,KBLD86,Corporate Debenture,1050.0,2020-09-09,1223.5,2025-07-06,
724,10.25% NIC Asia Debenture 2083/84,NICD83/84,Corporate Debenture,1015.0,2020-09-09,1145.0,2025-07-07,
725,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,Corporate Debenture,1050.0,2020-09-10,1040.0,2024-04-09,
726,10% Nepal SBI Bank Debenture 2086,SBIBD86,Corporate Debenture,1021.0,2020-09-14,1112.0,2025-07-03,
727,Laxmi Unnati Kosh,LUK,Mutual Fund,9.28,2020-09-14,10.18,2025-07-07,
728,Liberty Energy Company Limited,LEC,Hydropower,270.0,2020-09-20,211.84,2025-07-07,
729,General Insurance Company Nepal Ltd,GIC,Non Life Insurance,335.0,2020-10-14,370.0,2022-07-13,
730,Shiva Shree Hydropower Ltd,SSHL,Hydropower,132.0,2020-10-29,250.21,2025-07-07,
731,Sanima General Insurance Limited,SGI,Non Life Insurance,342.0,2020-11-04,365.0,2022-07-13,
732,10% Prabhu Bank Debenture 2084,PBLD84,Corporate Debenture,1026.0,2020-11-10,1144.0,2025-07-02,
733,CITIZENS MUTUAL FUND 2,CMF2,Mutual Fund,9.9,2020-11-22,9.68,2025-07-07,
734,10% Himalayan Bank Debenture 2083,HBLD83,Corporate Debenture,1040.0,2020-12-06,1083.2,2025-07-06,
735,Mountain Energy Nepal Limited,MEN,Hydropower,378.0,2020-12-16,595.73,2025-07-07,
