Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
133,2025-08-24,2806,GHL,Ghalemdi Hydro Limited,243,244,241.7,,9718,2355444.8,240.67,318,193.5,2025-08-24T12:44:16.861871,241.7,45,242.37,
134,2025-08-24,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,966.3,985.9,966.3,,697,681701.4,983.18,1175,771,2025-08-24T12:47:55.173226,985.9,22,978.05,
135,2025-08-24,2809,SHIVM,SHIVAM CEMENTS LTD,626,629,622,,59103,36945472.1,623.01,723,495,2025-08-24T12:48:22.668573,624,276,625.1,
136,2025-08-24,2810,UPCL,UNIVERSAL POWER COMPANY LTD,381.4,396.7,381.4,,25354,9912171.7,389.15,489,234,2025-08-24T12:49:59.224734,388,109,390.95,
137,2025-08-24,2811,MHNL,Mountain Hydro Nepal Limited,266.1,274.9,266.1,,6574,1761220.5,271.31,345,234,2025-08-24T12:47:47.502634,269,42,267.9,
138,2025-08-24,2813,PPCL,Panchthar Power Compant Limited,339.9,340.8,331.8,,4529,1512876.1,334.32,409.9,221.6,2025-08-24T12:50:23.257075,331.8,45,334.04,
139,2025-08-24,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1583,1589.1,1558,,126,199606,1583,1980,1397,2025-08-24T12:28:09.835546,1589.1,5,1584.17,
140,2025-08-24,2824,HURJA,Himalaya Urja Bikas Company Limited,237,239.9,237,,9316,2212596.7,236.17,283.4,198,2025-08-24T12:45:39.114021,237,45,237.5,
141,2025-08-24,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,2259.18,2263,2259.18,,50,112993,2259.18,3486,1560,2025-08-24T12:48:29.247979,2263,7,2259.86,
142,2025-08-24,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1790.69,1805,1777,,725,1304907,1790.69,2426.4,1398.5,2025-08-24T12:18:40.169093,1802,7,1799.87,
143,2025-08-24,2831,UNHPL,Union Hydropower Limited,393.8,393.8,385.4,,8589,3326287,387.1,486.4,235,2025-08-24T12:49:42.213376,387,55,387.27,
