,Unnamed: 0,company.name,company.code,company.cat
293,259500,Tinau Mission Development Bank Limited Promoter Share,xTMDBLPS,Promoter Share
294,259604,NMB  Microfinance Bittiya Sanstha Ltd. Promoter Share,xNMBSLPS,Promoter Share
295,262282,Green Development Bank Ltd. Promoter Share,xGDBLPS,Promoter Share
296,266558,Nerude Laghubita Bikas Bank Limited Promoter Share,xNLBBLPS,Promoter Share
297,283358,Womi Microfinance Bittiya Sanstha Ltd. Promoter Share,xWMBSLPS,Promoter Share
298,292239,Premier Insurance Co. Ltd. Promoter Share,xPICLPS,Promoter Share
299,294632,SURYODAYA LAGHUBITTA BITTIYA SANSTHA LIMITED PROMOTER SHARE,xSLBSLPS,Promoter Share
300,294652,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED PROMOTER SHARE,xALBSLPS,Promoter Share
301,295206,Saptakoshi Development Bank Ltd Promoter Share,xSDBLPS,Promoter Share
302,295865,Everest Insurance Co. Ltd. Promoter Share,xEICLPS,Promoter Share
303,297380,RSDC Laghubitta Bittiya Sanstha Ltd. Promoter Share,xRLBSLPS,Promoter Share
304,298434,Vijaya laghubitta Bittiya Sanstha Ltd. Promoter Share,xVLBSLPS,Promoter Share
305,307116,National Microfinance Bittiya Sanstha Ltd. Promoter,xNMBSLP,Promoter Share
306,307458,Forward Community Microfinance Bittiya Sanstha Ltd Promoter Share,xFCMBSLPS,Promoter Share
307,309986,Mithila LaghuBitta Bikas Bank Ltd. Promoter Share,xMLBBLPS,Promoter Share
308,311871,Mahuli Laghubitta Bittiya Sanstha Limited Promoter,xMLBSLP,Promoter Share
309,315185,Civil Laghubitta Bittiya Sanstha Promoter,xCLBSP,Promoter Share
310,316071,Janautthan Samudayic Laghubitta Bikas Bank Ltd. Promoter Share,xJSLBBLPS,Promoter Share
311,328575,Kisan Lagubitta Bittiya Sanstha Limited Promoter Share,xKLBSLPS,Promoter Share
312,329254,Mero Microfinance Bittiya Sanstha Ltd. Promoter Share,xMMBSLPS,Promoter Share
313,347934,NIC ASIA Laghubitta Bittiya Sanstha Limited Promoter Share,xNALBSLPS,Promoter Share
314,360456,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd Promoter,xJBLBSLP,Promoter Share
315,365648,Chhimek Laghubitta Bittiya Sanstha Limited Promoter,xCLBSLP,Promoter Share
316,368806,Support Microfinance Bittiya Sanstha Ltd. Promoter Share,xSMBSLPS,Promoter Share
317,369876,Nerude Laghubitta Bittiya Sanstha Limited Promoter,xNLBSLP,Promoter Share
318,370378,Premier Insurance Company (Nepal) Limited Promoter Share,xPICLPS,Promoter Share
319,372542,Forward Microfinance Laghubitta Bittiya Sanstha Limited Promoter,xFMLBSLP,Promoter Share
320,379015,Samata Gharelu Laghubitta Bittiya Sanstha Limited Promoter,xSGLBSLP,Promoter Share
321,381178,Global IME Laghubitta Bittiya Sanstha Ltd. Promoter Share,xGILBSLPS,Promoter Share
322,381370,Asha Laghubitta Bittiya Sanstha Ltd Promoter Share,xALBSLPS,Promoter Share
323,384503,Garima Debenture 2085,xGD2,Debenture
324,384785,National Microfinance Laghubitta Bittiya Sanstha Limited Promoter,xNMLBSLP,Promoter Share
325,389684,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter,xSWLBSLP,Promoter Share
326,390423,Hydorelectricity Investment and Development Company Limited Promoter,xHIADCLP,Promoter Share
327,391088,Himalayan Everest Insurance Limited Promoter,xHEILP,Promoter Share
328,393793,Infinity Laghubitta Bittiya Sanstha Limited Promoter Share,xILBSLPS,Promoter Share
329,394059,Mirmire Laghubitta Bittya Sanstha Limited Promoter,xMLBSLP,Promoter Share
330,399187,Sabaiko Laghubitta Bittiya Sanstha Limited,SABSL,Microfinance
331,399270,Global IME Balanced Fund-1,GIBF1,Mutual Fund
332,399273,Everest Bank Limited,EBL,Commercial Bank
333,399317,"Garima Debenture""",GBBD85,Debenture
334,400975,Sikles Hydropower Limited,SIKLES,Hydropower
335,401201,Khaptad Laghubitta Bittiya Sanstha Limited,KLBS,Microfinance
336,402292,10.25% Nepal SBI Bank Debenture 2083,SBID83,Debenture
337,402823,8.5% Prabhu Bank Debenture 2087,PBLD87,Debenture
338,402882,NMB Debenture 8.50% - 2087/88,NMBD87/88,Debenture
339,403200,Narayani Development Bank Limited Promoter,NABBCP,Promoter Share
340,404108,Global IME Bank Limited,GBIME,Commercial Bank
341,405033,Peoples Hydropower Company Limited,PHCL,Hydropower
342,405059,Eastern Hydropower Limited,EHPL,Hydropower
343,406030,Shrijanshil Laghubitta Bittiya Sanstha Limited,SHLB,Microfinance
344,406140,Adhikhola Laghubitta Bittiya Sanstha Limited,AKBSL,Microfinance
345,408560,Barahi Hydropower Public Limited,BHPL,Hydropower
346,410802,Sanima GIC Insurance Limited,SGIC,Non life insurance
347,411421,SuryaJyoti Life Insurance Company Limited,SJLIC,Life insurance
348,414350,Sabaiko Laghubitta Bittiya Sanstha Limited Promoter,SABSLP,Promoter Share
349,415180,Aarambha Chautari Laghubitta Bittiya Sanstha Limited Promoter Share,ACLBSLP,Promoter Share
350,416051,Nepal Investment Mega Bank Limited,NIMB,Commercial Bank
351,416902,Unique Nepal Laghubitta Bittiya Sanstha Limited,UNLB,Microfinance
352,417452,SuryaJyoti Life Insurance Company Limited Promoter,SJLICP,Promoter Share
353,417578,Super Madi Hydropower Limited,SMHL,Hydropower
354,417814,Shuvam Power Limited,SPL,Hydropower
355,419080,NIFRA Uraj Rinpatra7%-2085/86,NIFRAUR85/86,Undetermined
356,419292,Sanima Growth Fund,SAGF,Mutual Fund
357,419894,Nepal Investment Mega Bank Ltd. Promoter Share,NIMBPO,Promoter Share
358,420305,Maya Khola Hydropower Company Limited,MKHC,Hydropower
359,420464,Asian Hydropower Limited,AHL,Hydropower
360,420465,Kalinchowk Darshan Limited,KDL,Undetermined
361,420914,Super Mai Hydropower Limited,SMH,Hydropower
