,company.code,company.name,company.cat
46,NLICL,National Life Insurance Co. Ltd.,Life Insurance
47,SFC,Samjhana Finance Co. Ltd.,Finance
48,PRIN,Prabhu Insurance Ltd.,Non Life Insurance
49,NSM,Nepal Share Markets Ltd.,Finance
50,LBL,Laxmi Bank Limited,Commercial Banks
51,PIC,Premier Insurance Co. Ltd.,Non Life Insurance
52,CFCL,Central Finance Co. Ltd.,Finance
53,LICN,Life Insurance Co. Nepal,Life Insurance
54,UIC,United Insurance Co. (Nepal) Ltd.,Non Life Insurance
55,STC,Salt Trading Corporation,Tradings
56,UFL,United Finance Ltd.,Finance
57,NCCB,Nepal Credit And Commercial Bank Limited,Commercial Banks
58,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance
59,ALICL,Asian Life Insurance Co. Limited,Life Insurance
60,JFL,Janaki Finance Ltd.,Finance
61,SFFIL,Shrijana Finance  (Bittaya Sanstha),Finance
62,CEFL,City Express Finance Co. Limited,Finance
63,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,Finance
64,SHL,Soaltee Hotel Limited,Hotels
65,UNL,Unilever Nepal Limited,Manufacturing And Processing
66,NLIC,Nepal Life Insurance Co. Ltd.,Life Insurance
67,RJM,Raghupati Jute Mills Limited,Manufacturing And Processing
68,GRU,Gorakhkali Rubber Udhyog Limited,Manufacturing And Processing
69,SIC,Sagarmatha Insurance Co. Ltd.,Non Life Insurance
70,CBBL,Chhimek Laghubitta Bikas Bank Limited,Microfinance
71,HGI,Himalayan General Insurance Co. Ltd,Non Life Insurance
72,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance
73,HDL,Himalayan Distillery Limited,Manufacturing And Processing
74,PICL,Prudential Insurance Co. Ltd.,Non Life Insurance
75,TRH,Taragaon Regency Hotel Limited,Hotels
76,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance
77,IGI,IME General Insurance Ltd.,Non Life Insurance
78,NIL,Neco Insurance Co. Ltd.,Non Life Insurance
79,NFS,Nepal Finance Ltd.,Finance
80,NICL,Nepal Insurance Co. Ltd.,Non Life Insurance
81,BFC,Best Finance Company Ltd.,Finance
82,NABBC,Narayani Development Bank Limited,Development Banks
83,PLIC,Prime Life Insurance Company Limited,Life Insurance
84,NIDC,NIDC Development Bank Ltd.,Development Banks
85,KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks
86,NLBBL,Nerude Laghubita Bikas Bank Limited,Microfinance
87,ADBL,Agriculture Development Bank Limited,Commercial Banks
88,ODBL,Om Development Bank Ltd.,Development Banks
89,MLBL,Mahalaxmi Bikas Bank Ltd.,Development Banks
90,SLICL,Surya Life Insurance Company Limited,Life Insurance
91,NLO,Nepal Lube Oil Limited,Manufacturing And Processing
92,NFD,Nepal Film Development Company Limited,Others
93,BNT,Bottlers Nepal (Terai) Limited,Manufacturing And Processing
94,GBBL,Garima Bikas Bank Limited,Development Banks
95,JBBL,Jyoti Bikas Bank Limited,Development Banks
96,GDBL,Gandaki Bikas Bank Limited,Development Banks
97,KNBL,Kankai Bikas Bank Ltd.,Development Banks
98,KRBL,Karnali Development Bank Limited,Development Banks
99,HATH,Hathway Finance Company Limited,Finance
100,HFL,Himalayan Finance Limited (Bittiya Sanstha),Finance
101,BNL,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing
102,GLICL,Gurans Life Insurance Company Ltd.,Life Insurance
103,CORBL,Corporate Development Bank Limited,Development Banks
104,SHINE,Shine Resunga Development Bank Ltd.,Development Banks
105,MNBBL,Muktinath Bikas Bank Ltd.,Development Banks
106,SADBL,Shangrila Development Bank Ltd.,Development Banks
107,MPFL,Multipurpose Finance Company  Limited,Finance
108,BHBL,Bhargav Bikash Bank Ltd.,Development Banks
109,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance
110,JBNL,Janata Bank Nepal Ltd.,Commercial Banks
111,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,Microfinance
112,MFIL,Manjushree Finance Ltd.,Finance
113,NBL,Nepal Bank Limited,Commercial Banks
114,CBL,Civil Bank Ltd,Commercial Banks
115,SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,Microfinance
116,NLG,NLG Insurance Company Ltd.,Non Life Insurance
117,MEGA,Mega  Bank Nepal Ltd.,Commercial Banks
118,SINDU,Sindhu Bikash Bank Ltd,Development Banks
119,SYFL,Synergy Finance Ltd.,Finance
120,HAMRO,Hamro Bikas Bank Ltd.,Development Banks
121,RMDC,RMDC Laghubitta Bittiya Sanstha Ltd.,Microfinance
122,SKBBL,Sana Kisan Bikas Bank Ltd,Microfinance
123,SHPC,Sanima Mai Hydropower Ltd.,Hydro Power
