,company.name,company.code
552796,Garima Samriddhi Yojana,GSY
555884,9% ICFC Finance Limited Debenture 2088,ICFCD88
556401,Mahila Lagubitta Bittiya Sanstha Limited Promoter,MLBSLP
560623,Everest Bank Limited Energy Bond,EBLEB89
561941,Nepal Micro Insurance Company Limited,NMIC
562492,Crest Micro Life Insurance Limited,CREST
564390,NMB Hybrid Fund L- II,NMBHF2
567031,Om Megashree Pharmaceuticals Limited,OMPL
568126,Wean Nepal Laghubitta Bittiya Sanstha Limited Promoter Share,WNLBP
570798,Everest Bank Limited Debenture 2091,EBLD91
571113,MBL Equity Fund,MBLEF
572082,Pure Energy Limited,PURE
574168,Sanima Reliance Life Insurance Limited Promoter Share,SRLIP
578352,Reliable Samriddhi Yojana,RSY
